stop_id,route_indexes
317,0;1
103,0;1;2;3;10;11;18;19
169,0;1;10;11;18;19
105,0;1;10;11;18;19;20;21;22;23;24;25;28;29
106,0;1;10;11;18;19;20;21;22;23;24;25;28;29
296,0;1;28;29
299,0;1;16;17;22;23;28;29
163,0;1;8;9;12;13;16;17;22;23;28;29
304,0;1;16;17;28;29
220,0;1;16;17;28;29
292,0;1;16;17;28;29
217,0;1;16;17;28;29
291,0;1;16;17;28;29
193,0;1;16;17;28;29
293,1;2
98,2;3;10;11;18;19
100,2;3;10;11;18;19
101,2;3;10;11;18;19
102,2;3;10;11;18;19
188,2;3
224,2;3;6;7;16;17;20;21;22;23;24;25;28;29
194,2;3;6;7;16;17
109,2;3;6;7;10;11;16;17;22;23
111,2;3;6;10;11;15;16;22
112,2;3;10;11;14;15
113,2;3;8;9;10;11;12;13;14;15
114,2;3;4;5;8;9;10;11;12;13;14;15;22;23
251,2;3;4;5;22;23
263,2;3;4;5;22;23
221,2;3;4;5;22;23
203,2;3;4;5;22;23
225,2;3;4;5;22;23
213,2;3;4;5;22;23
214,2;3;4;5;22;23
198,2;3;4;5;22;23
187,2;3;4;5;22
212,2;3;4;5
249,2;3;4;5
313,2;3;4;5
266,2;3;4;5
227,3
245,4;5;16;17;20;21
275,4;5;16;17;20;21
250,4;5;16;17;20;21
295,4;5;16;17;20;21
190,4;5;16;17;20;21
294,4;5;16;17;20;21
288,4;5;6;7;22;23;24;25;28;29
314,4;5;6;7;8;9;22;23;24;25;28;29
312,4;8;23
1375,4;5;8;9;22;23
248,4;5;8;9;22;23
239,4;5;8;9;22;23
235,4;5;8;9;22;23
284,4;5;8;9;22;23
272,6;7;12;13
309,6;7;8;9;24;25;28;29
262,6;7;8;9;24;25;28;29
310,6;7;8;9;24;25;28;29
305,6;7;8;9;24;25;28;29
122,6;7;14;15;16;17;22;23
123,6;7;14;15
124,6;7;14;15;18;19;20;21;24;25
311,6;7;18;19;20;21
254,6;7;18;19;20;21
236,6;7;9;13;18;19;20;21;22;23
247,6;7;8;9;12;13;18;19;20;21
231,6;7;8;9;12;13;18;19;20;21
197,6;7;8;9;12;13;18;19;20;21
222,6;7;8;9;12;13;18;19;20;21
264,6;7;8;9;12;13;18;19;20;21
209,6;7;8;9;12;13;18;19;20;21
242,6;7;12;13;18;19
233,6;7;12;13;18;19
215,6;7;12;13;18;19
202,6;7;12;13;18;19
201,6;7;12;13;18;19
189,6;7;12;13;18;19
256,6;7;12;13;18;19
206,6;7;12;13;18;19
259,8;9;28;29
281,8;9;28;29
246,8;9;28;29
255,8;9;28;29
265,8;9;28;29
230,8;9;28;29
283,8;9;28;29
282,8;9;28;29
223,8;9;28;29
234,8;9;28;29
287,8;9;12;13;24;25;28;29
297,8;9;12;13
303,8;9;12;13;22;23
107,10;11;22;23
115,10;11;12;13;14;15
171,10;11;12;13;14;15
1729,10;11;12;13;14;15
117,10;11;12;13;14;15
185,10;11;12;13;15;25
183,10;11;12;13;24;25
181,10;11;12;13;24;25
1794,10
179,11;12;13;24;25
226,12;13;24;25
269,12;13;24;25
302,12;13;24;25
308,12;13;24;25
278,12;13;24;25
177,14;15;24;25;26;27
175,14;15;24;25
128,14;15;24;25
127,14;15;24;25
126,14;15;24;25
125,14;15;24;25
1780,14;24
298,20;21;22;23;24;25;28;29
1781,23
131,26;27
132,26;27
133,26;27
134,26;27
