stop_id,stop_name,stop_lat,stop_lon,viable_direction
98,Črnomerec,45.815146,15.934932,0
100,Sveti Duh,45.813404,15.943116,2
101,Mandaličina,45.812425,15.948821,2
102,Slovenska,45.812472,15.952514,2
103,Trg dr. F. Tuđmana,45.813063,15.957726,2
105,Frankopanska,45.812794,15.969598,2
106,Trg J. Jelačića,45.813063,15.977298,2
107,Zrinjevac,45.809044,15.977755,2
109,Glavni kolodvor,45.805126,15.979214,2
111,Branimirova,45.805407,15.984358,2
112,Branim. tržnica,45.806078,15.991945,2
113,Autobusni kol.,45.804083,15.993918,2
114,Držićeva,45.801069,15.996196,2
115,Slavonska,45.796733,15.998885,2
117,Most Mladosti,45.782064,16.001303,2
122,Sheraton,45.807568,15.983893,2
123,Traumatologija,45.810313,15.983676,2
124,Draškovićeva,45.813054,15.983432,2
125,Grškovićeva,45.819956,15.979313,2
126,Belostenčeva,45.822413,15.979824,2
127,Gupčeva zvijezda,45.827927,15.979567,2
128,Radić. šetalište,45.831868,15.978034,2
131,Gračanske stube,45.849226,15.975274,2
132,Grač. Mihaljevac,45.854023,15.973232,2
133,Gračani,45.858266,15.974122,2
134,Gračansko Dolje,45.860372,15.981435,1
163,Šubićeva,45.81012,15.993927,2
169,Britanski trg,45.81212,15.964535,2
171,Folnegovićevo,45.792058,16.002444,2
175,Jandrićeva,45.836615,15.977467,2
177,Mihaljevac,45.841944,15.974952,0
179,Sopot,45.77742,15.986523,2
181,Središće,45.77755,15.991373,2
183,Utrina,45.777726,15.997721,2
185,Zapruđe,45.778489,16.001453,2
187,Žitnjak,45.798998,16.034782,2
188,Adžijina,45.807695,15.962047,2
189,Aleja javora,45.828599,16.069616,2
190,Badalićeva,45.8018,15.959579,2
193,Borongaj,45.814286,16.018615,1
194,Botanički vrt,45.805499,15.974166,2
197,Park Maksimir,45.818538,16.01381,2
198,Čavićeva,45.800934,16.031046,2
201,Čulinečka,45.828792,16.063781,2
202,Dankovečka,45.829166,16.05656,2
203,Donje Svetice,45.802984,16.015248,2
206,Dubec,45.827847,16.0777,1
209,Dubrava,45.824216,16.039641,2
212,Elka,45.796975,16.037695,2
213,Ferenščica,45.804288,16.02362,2
214,Getaldićeva,45.802832,16.027349,2
215,Grižanska,45.828713,16.052333,2
217,Harambašićeva,45.814804,16.008497,2
220,Heinzelova,45.811562,16.000997,2
221,Heinzelova,45.802243,16.011273,2
222,Hondlova,45.820887,16.0227,2
223,Horvati,45.787973,15.942093,2
224,Vodnikova,45.805765,15.967641,2
225,Ivanićgradska,45.803849,16.020594,2
226,Arena Zagreb,45.777861,15.952814,2
227,Jagićeva,45.809019,15.957513,1
230,Hrvatskog sokola,45.789726,15.92061,2
231,Jordanovac,45.817537,16.008094,2
233,Kapucinska,45.827512,16.048675,2
234,Knežija,45.788145,15.945391,2
235,Kruge,45.800547,15.985374,2
236,Kvaternikov trg,45.814856,15.997386,2
239,Lisinski,45.799937,15.979895,2
242,Ljubijska,45.825956,16.045124,2
245,Ljubljanica,45.797137,15.938396,0
246,Marijane Radev,45.793113,15.902372,2
247,Mašićeva,45.816436,16.003448,2
248,Miramarska,45.79976,15.975292,2
249,Munja,45.792803,16.038356,2
250,Nehajska,45.798447,15.948232,2
251,Olibska,45.800967,15.999838,2
254,Petrova,45.813763,15.991629,2
255,Petrovaradinska,45.792376,15.906921,2
256,Poljanice IV,45.828331,16.072994,2
259,Prečko,45.794226,15.893441,0
262,Prisavlje,45.790891,15.956569,2
263,Radnička,45.801422,16.004607,2
264,Ravnice,45.822164,16.028185,2
265,Vrbani,45.791602,15.914679,2
266,Savišće,45.789193,16.034803,1
269,Savski gaj,45.777096,15.956763,2
272,Savski most,45.785588,15.952926,0
275,Selska,45.797679,15.944011,2
278,Muzej suv.umjetnosti,45.777415,15.980748,2
281,Slavenskog,45.794278,15.898965,2
282,Srednjaci,45.788091,15.937396,2
283,Jarun,45.787818,15.930054,2
284,Strojarska,45.800709,15.989532,2
287,St. dom S. Radić,45.786418,15.95217,2
288,Studentski centar,45.802728,15.964551,2
291,Svetice,45.815345,16.013277,2
292,Šulekova,45.813248,16.004694,2
293,Talovčeva,45.809666,15.957094,2
294,Tehnički muzej,45.803297,15.964247,2
295,Trešnjevački trg,45.799792,15.954299,2
296,Trg hr. velikana,45.811668,15.984472,2
297,Trg P. Krešimira,45.80787,15.991697,2
298,Trg Rep. Hrvatske,45.809096,15.968741,2
299,Trg žrt. fašizma,45.80965,15.988164,2
302,Trnsko,45.777075,15.965189,2
303,Tržnica Kvatrić,45.81282,15.995819,2
304,Tuškanova,45.811021,15.99766,2
305,Učit. fakultet,45.796877,15.960614,2
308,Velesajam,45.777251,15.971444,2
309,Veslačka,45.788645,15.954993,2
310,Vjesnik,45.794042,15.958737,2
311,Vončinina,45.813797,15.986709,2
312,Vrbik,45.7997,15.967661,2
313,Zg. transporti,45.790977,16.036917,2
314,Zagrepčanka,45.799242,15.962926,2
317,Zapadni kolodvor,45.809613,15.955034,0
1375,Sveučilišna al.,45.799554,15.970985,2
1729,Borovje,45.788681,16.004211,2
1780,Zapruđe,45.778963,16.00186,-1
1781,Žitnjak,45.798842,16.034778,-1
1794,Sopot,45.777802,15.984004,-1
